Campus Hubs,bookmark,URL,Address,Description,Logo,Featured Text,Featured Link,Impact,Director Name (new),Other Point of Contact Name (new),Featured Photo,geometry,school_official,funding
CS Bridge,csbridge,https://stanford-csbridge.squarespace.com/,"CS Bridge - Gates Computer Science, 353 Jane Stanford Way, Stanford University, CA 94305","Our mission is to help scale up high-quality human-centric computer science education. We develop projects with a focus on extending access to computer science education beyond the borders of our university. Our three main projects are Code in Place, CSB Classic, and Course-in-a-Box. All of our programs engage with the community outside of Stanford but it is the CSB Classic program that forms sustainable partnerships with institutions in the United States and around the world. As a way to facilitate community-centered learning, instructors from Stanford partner with instructors at our partner institutions to teach high school students how to code through our CSB Classic program. ",https://dl.airtable.com/.attachments/7c82e2b422c8445d897a66e2fdcbb0d1/e64f21b4/CSBridgeLogo.png,"In Summer 2021 CS Bridge launched a program with Ohlone College, a community college in the Bay Area. An instructor from Ohlone and an instructor from Stanford together with students from both institutions, taught Bay Area high school students how to code. ",https://www.ohlone.edu/article/news/ohlone-college-partners-stanford-debut-computer-science-bridge-program,Education,Chris Piech,NA,NA,POINT (-122.1733 37.42999),School of Engineering,
Mills Legal Clinic: Supreme Court Litigation Clinic,mills_supreme,https://law.stanford.edu/supreme-court-litigation-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","Stanford’s Supreme Court Litigation Clinic—the first of its kind at any law school—gives students intensive exposure to a realm few lawyers experience in their careers: the Supreme Court of the United States. Under the direction of three faculty members, who collectively have argued dozens of Supreme Court cases and have worked on hundreds more in various capacities, clinic members work on real Supreme Court cases, representing parties and amici.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"Read more about the SCLC's cases and clients, recent filings and developments, and featured work on the Mills Legal Clinic blog.",https://law.stanford.edu/supreme-court-litigation-clinic/,"Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/jeffrey-fisher' target='_blank'>Jeffrey Fisher</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Mills Legal Clinic: Religious Liberty Clinic,mills_religious,https://law.stanford.edu/religious-liberty-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","The Stanford Religious Liberty Clinic is the leading and only full-time clinic of its kind in the country. Founded in 2012, the landmark program offers participating students a full-time, first-chair experience representing a diverse group of clients in legal disputes arising from a wide range of beliefs, practices, and circumstances. Students learn in class and engage through reflective and supervised practice the laws, norms, and limits affecting the exercise of religious freedom in a pluralistic society. Students are expected to counsel individual or institutional clients and litigate on their behalf with excellence, professionalism, and maturity. Although religious liberty disputes cut across economic lines, the clinic strives to serve those in need.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"Read more about RLC's cases, briefs, and featured work on the Mills Legal Clinic blog.",https://law.stanford.edu/religious-liberty-clinic/#slsnav-students-work,"Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/james-sonne' target='_blank'>James Sonne</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Mills Legal Clinic: Organizations and Transactions Clinic,mills_orgs,https://law.stanford.edu/organizations-and-transactions-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","The O&T Clinic is Stanford's only corporate experiential course involving representation of real clients. We're designed for both students interested in M&A, capital markets, emerging company, tech transactions or other corporate work, and those wanting to explore a non-litigation, advisory-oriented practice. Students represent multiple clients during the term. Our clients are all established nonprofit corporations.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"The O&T Clinic does governance, contract, and advisory work for their nonprofit clients, taking on a practical approach as they carry out their projects.",https://law.stanford.edu/organizations-and-transactions-clinic/,"Law, Policy, & Justice",Jay A. Mitchell ,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Mills Legal Clinic: Juelsgaard Intellectual Property and Innovation Clinic,mills_juelsgaard,https://law.stanford.edu/juelsgaard-intellectual-property-and-innovation-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","In the Juelsgaard Intellectual Property and Innovation Clinic, students engage in hands-on representation of clients in cutting-edge matters involving IP (copyright and the DMCA, patent, and trademark) and other laws and technology policy advocacy that affect innovation, including online speech and content moderation, artificial intelligence, tech and racial justice, net neutrality, antitrust, pharmaceutical regulation, privacy, cybersecurity, and more.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,Read more about JIPIC's recent cases and projects.,https://law.stanford.edu/juelsgaard-intellectual-property-and-innovation-clinic/#slsnav-what-we-do,"Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/phillip-malone' target='_blank'>Phillip Malone</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Mills Legal Clinic: International Human Rights Clinic,mills_international,https://law.stanford.edu/international-human-rights-and-conflict-resolution-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","The International Human Rights Clinic has long engaged students in sophisticated and multi-disciplinary advocacy to advance the basic human rights and dignity of individuals and communities globally. While this clinic is currently inactive as we seek to appoint its next Director, the Law School remains committed to supporting this clinic’s important work and mission in the future. When in operation, this clinic’s students divide their time between weekly seminars—covering lawyering skills and principles of international law—and ongoing clinical advocacy projects. Students are thus exposed to a range of tools and strategies to promote respect for rights, including factual documentation and reports describing rights abuses; litigation before national, regional, and international institutions; community empowerment strategies; survivor interviews; regional outreach campaigns; and other forms of non-traditional human rights-centered advocacy.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"The International Human Rights Clinic has worked on numerous projects, including justice in El Salvador, reparations for displaced farmers in Haiti, conservation in Myanmar, and more.",https://law.stanford.edu/international-human-rights-and-conflict-resolution-clinic/#slsnav-projects,"Law, Policy, & Justice, Identity & Human Rights",,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Challenge Success,challenge,https://challengesuccess.org,"Redwood Hall, 243 Panama Street, Stanford, CA, 94305; P.O. Box 20053
Stanford, CA, 94309",Challenge Success provides schools and families with proven strategies that promote well-being and engagement with learning in order to transform the student experience into one where all kids can create their own paths to success.,https://dl.airtable.com/.attachments/6a61e9dedbc01f9ec8c7aa1f30424082/4cee5603/CS-LOGOS-vertical-tagline-FINAL.png,"Three case studies from Challenge Success highlight the work we do with schools and how we transform the student experience to one with less stress, more balance, and deeper learning.",https://challengesuccess.org/success-stories/,"Education, Health",,"Margaret Dunlap (mbdunlap@stanford.edu), Denise Pope (dpope@stanford.edu)",NA,POINT (-122.1771 37.42932),Graduate School of Education,
"Camera as Witness, Stanford Arts",camera,https://arts.stanford.edu/office-of-the-vice-president-for-the-arts/camera-as-witness/,"CAW Stanford Arts
Littlefield Center room 241
365 Lasuen Street
Stanford, CA 94305","

The CAMERA AS WITNESS (CAW) Program is conceived to leverage the appeal of visual information and utilize the medium of documentary film as a year-round educational tool about a number of topics and disciplines at Stanford, ranging from international relations to the environment, from energy policy to human rights.

Through screenings of world-class documentary films, expert panels, and discussions with filmmakers, it provides an innovative and structured student-centric platform for learning and engagement. Throughout the academic year, CAW presents a series of 6-7 film major screenings combined with guests and panels organized with partners across Stanford (Winter, Spring, and Summer - with the Fall quarter activities dedicated to hosting UNAFF, www.unaff.org, a renowned international documentary film festival).

In addition to these events, CAW organizes also several smaller screenings and discussions in dorms and graduate residence facilities in coordination with on-campus institutes and centers such as the Bechtel International Center, Freeman Spogli Institute and Stanford Global studies. CAW is program of Stanford Arts.
",https://dl.airtable.com/.attachments/bc1a4e6de948a6541916b0a13b1044bd/66a17ba9/CAW_logo_stanford_arts4_on_white_small.jpg,"CAW (Camera as Witness) Stanford Arts Presents the 24th UNAFF (United Nations Association Film Festival) October 21-31, 2021",http://www.unaff.org,Arts & Humanities,<a href = 'https://profiles.stanford.edu/jasmina-bojic' target='_blank'>Jasmina Bojic</a>,"Anne Marion Shulock (ashulock@stanford.edu), Mimi Wai (mimiw@stanford.edu)",https://dl.airtable.com/.attachments/cde434add07c120215fa4e3bf87e0af2/2c1e876b/UNAFF_MargueriteBus_2021.jpg,POINT (-122.1675 37.43048),Vice President for the Arts,
Kavli Institute for Particle Astrophysics and Cosmology,kavli,https://kipac.stanford.edu/,"452 Lomita Mall, Physics & Astrophysics Building, Stanford, CA 94305-4085","The Kavli Institute for Particle Astrophysics and Cosmology (KIPAC) is a research institute that explores the fundamental questions and deep mysteries in the cosmos, from the smallest scale (such as high-energy particles and cosmic rays) to the biggest scale (such as the early Universe and large-scale structures). KIPAC houses more than 150 scientists with diverse interests in astrophysics and cosmology, bringing the power of theory, computation, experiments, and observations to bear on the frontier questions in astronomy.",https://dl.airtable.com/.attachments/b837cbcb9e674e8a60febd66b96c9e4c/7161be61/kipac_logo_long.png,"KIPAC hosts monthly public lectures that are free and open to all. Designed with the general public in mind, these lectures are fun, informative, and engaging. Currently we are offering hybrid events where both in-person and online participation is available.",https://kipac.stanford.edu/discover,"Education, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/risa-wechsler' target='_blank'>Risa Wechsler</a>,NA,https://dl.airtable.com/.attachments/e438535f1aeef76daeba1fc59c04d501/d8472108/KIPACPublicLectureGraphic_Banner_Crop1_0.jpg,POINT (-122.1725 37.42852),Dean of Research,
Stanford Three Strikes Project ,strikes,https://law.stanford.edu/three-strikes-project/,"559 Nathan Abbott Way, Stanford, CA 94305-8610","In 1994, California voters enacted the “Three Strikes and You’re Out” law in response to the tragic murders of Kimber Reynolds and Polly Klaas. The law imposed a life sentence for almost any crime, no matter how minor, if the defendant had two prior convictions for crimes defined as serious or violent by the California Penal Code. According to official ballot materials promoting the original Three Strikes law, the sentencing scheme was intended to “keep murderers, rapists, and child molesters behind bars, where they belong.” However, today, more than half of inmates sentenced under the law are serving sentences for nonviolent crimes. We find the people serving the longest and most unjust sentences and represent them in state and federal courts across the county. Almost all of our clients are serving life sentences “Three Strikes” law for crimes as minor as shoplifting a pair of socks, attempting to steal a car radio, and simple drug possession. We have won reversals of life sentences in over 150 cases. We also pursue civil rights impact cases challenging mandatory minimum sentences and unfair prison conditions and policies.",https://dl.airtable.com/.attachments/c07f467f2d902676f79575ed06c31a17/834a9a02/StanfordThreeStrikesProject.jpg,"The Three Strikes Project's core work is in litigation, reform and legal training. The Project also supports a re-entry program, leverages expertise and resources at Stanford to evaluate what works (and doesn’t work) in the criminal justice system, and partners with elected local, state, and federal officials, government agencies, civil rights groups, law enforcement leaders, community service providers, and other stakeholders.",https://law.stanford.edu/three-strikes-project/#slsnav-re-entry-research-partnerships,"Law, Policy, & Justice",,"Michael S Romano (mromano@stanford.edu), Susan Champion (schampion@law.stanford.edu)",https://dl.airtable.com/.attachments/1b6a1a85745ab8d7053fe14ea339cb98/f2ca655c/three-strikes-justice-advocacy-project-20-400x285.jpg,POINT (-122.1677 37.42394),School of Law,
Aeronautics and Astronautics Community Research Experience (AACRE),aacre,https://aa.stanford.edu/academics-admissions/undergraduate-major-minor/aeronautics-and-astronautics-community-research,"496 Lomita Mall, Main Office Room 202, Stanford, CA 94305","Aeronautics and Astronautics Community Research Experience (AACRE) program within the Stanford Department of Aeronautics and Astronautics offers a 10-week summer research program that provides community college students with an opportunity to explore careers in research. Students gain experience that will help strengthen their knowledge, skills and understanding of research, as well as supporting equitable access to higher education.",https://dl.airtable.com/.attachments/7a14699528ef03c2020f9fdc580b2ac2/08d64b66/AeronauticsandAstronautics.png,NA,NA,"Education, Equity or Socioeconomic Issues, Media and Technology",<a href = 'https://profiles.stanford.edu/charbel-farhat' target='_blank'>Charbel Farhat</a>,Dr Sonia Travaglini (drsonia@stanford.edu),NA,POINT (-122.1732 37.42683),School of Engineering,
Stanford Center for Health Education ,sche,"https://healtheducation.stanford.edu/
https://digitalmedic.stanford.edu/","408 Panama Mall, Stanford, CA 94305","The Stanford Center for Health Education (SCHE) extends world-class health education to a global network of health professionals, individuals, and communities, creating a more informed public and improving health outcomes. SCHE designs and delivers online professional education and custom educational experiences through online graduate certificate programs and professional certificates.

We also create and evaluate free, open access health education content with global collaborators through our Digital Medic initiative. Since 2016, Digital Medic has been working with low- and middle-income communities to create adaptable, scalable health education resources. We work to build capacity for the global health workforce, sustain knowledge gains, increase health-promoting behaviors, and improve health outcomes. Teams based in Stanford and Cape Town.",https://dl.airtable.com/.attachments/60d49371961847b7b2c7f62e69f94525/8c5952ef/CHE_logo.png,Digital Advocacy Course Aims to Equip and Inspire Community Health Workers,https://digitalmedic.stanford.edu/general/digital-advocacy-course-aims-to-equip-and-inspire-community-health-workers/,"Health, Education",<a href = 'https://profiles.stanford.edu/charles-prober' target='_blank'>Charles G Prober MD</a>,"Aarti Aurora Porwal (aaporwal@stanford.edu), Katherine Sziraczky (katsz@stanford.edu)",NA,POINT (-122.1726 37.42587),Stanford Medicine,
O'Donohue Family Stanford Educational Farm ,farm,https://earth.stanford.edu/farm,"175 Electioneer Road, Stanford, CA 94305","The O'Donohue Family Stanford Educational Farm is a living laboratory offering academic and experiential learning opportunities for the Stanford community and beyond. The farm utilizes agroecological relationships and natural diversity to grow over 200 varieties of vegetables, flowers, herbs, field crops and fruit. Students come to the farm to test new ideas about the biological, social and environmental aspects of farming and gain experience in the practice of sustainable agriculture. On-farm research provides students hands-on learning opportunities.",https://dl.airtable.com/.attachments/2e9de32db37d229266c71c74700eb8ca/b70b43ef/ODonohueFamilyStanfordEducationalFarm.png,"From academic courses to workshops, to wellness classes, elementary school programs and open volunteer hours we provide opportunities for hands-on engagement in sustainable food production and local food systems.",https://earth.stanford.edu/farm/engage,"Environment and Sustainability, Education",<a href = 'https://profiles.stanford.edu/joseph-archie' target='_blank'>Patrick Archie</a>,NA,NA,POINT (-122.1828 37.42652),"School of Earth, Energy & Environmental Sciences",
Anderson Collection at Stanford ,anderson,https://anderson.stanford.edu/,"314 Lomita Drive, Stanford, CA 94305","Stanford University is the home to the core of the Anderson Collection, one of the world’s most outstanding private assemblies of modern and contemporary American art. ",https://dl.airtable.com/.attachments/410db18a34bc88da052ea1afa4530a80/4949504d/AndersonCollection.png,The Anderson Collection offers family activities every Second Sunday of the month in collaboration with the Cantor Arts Center! ,https://live-anderson-collection.pantheonsite.io/programs-exhibitions/second-sunday-8/,"Arts & Humanities, Recreation and Culture",Jason Linetzky,"Aimee Shapiro (aimees@stanford.edu), Ileana Tejada (itejada@stanford.edu)",NA,POINT (-122.1708 37.43389),Vice President for the Arts,
The Michelle R. Clayman Institute for Gender Research ,clayman,http://gender.stanford.edu/,"589 Capistrano Way, Stanford, CA 94305","Founded in 1974, the Michelle R. Clayman Institute for Gender Research at Stanford University has put research into action by inspiring innovative solutions that advance gender equality. Launched when women professors were ""firsts"" in their positions, the Institute's work today engages faculty and students from Stanford University's seven schools and beyond. The Institute operates as an incubator for collaboration, engaging diverse groups of experts and scholars to identify and tackle the next big questions related to gender equality. For decades, its ground-breaking research—both its in-house research and the interdisciplinary gender research it funds—has effected lasting change.",https://dl.airtable.com/.attachments/1e1ba38d0b76b6455540c32cfbf25421/cf47bb85/TheMichelleR.ClaymanInstituteforGenderResearch.png,"The Clayman Institute conducts research to change the world. We translate and amplify our gender research to reach broad and diverse communities. Our annual print magazine, upRising, commemorates our research, programming, and achievements of the most recent academic year in a readable and engaging format. ",https://gender.stanford.edu/news-publications/uprising,Identity & Human Rights,<a href = 'https://profiles.stanford.edu/adrian-daub' target='_blank'>Adrian Daub</a>,Alison Crossley (acrossle@stanford.edu),NA,POINT (-122.1718 37.42297),School of Humanities & Sciences,
"Center for Youth, Mental Health, and Well-Being, Department of Psychiatry and Behavioral Sciences",cymhwb,https://med.stanford.edu/psychiatry/special-initiatives/youthwellbeing.html,"401 Quarry Rd, Chairman’s Suite
Stanford, CA 94305-5717","The Stanford Center for Youth Mental Health and Wellbeing is spearheading a groundbreaking, new national vision for adolescent and young adult wellness and mental health support. The adolescent health experts within the Center have laid the groundwork for the creation of a national initiative for youth through their expertise in early mental health support, youth development, school mental health, and suicide prevention.  ",https://dl.airtable.com/.attachments/c6c5a4bd108f3aac9cb83e29917c9107/fdba3147/print-logo-color-filled-shield.png,"allcove is a space for youth to find community, support, advice or even just a moment of pause.",https://www.allcove.org,Health,"<a href = 'https://profiles.stanford.edu/laura-roberts' target='_blank'>Laura Roberts MD MA</a>, <a href = 'https://profiles.stanford.edu/steven-adelsheim' target='_blank'>Steven Adelsheim</a>",Vicki Harrison (vickih@stanford.edu),https://dl.airtable.com/.attachments/2e775dc51ff31c93c1b653fca671bee1/b9c55f09/IMG_2239.jpeg,POINT (-122.171 37.43897),Stanford Medicine,2021
Mills Legal Clinic: Criminal Prosecution Clinic,mills_prosecution,https://law.stanford.edu/criminal-prosecution-clinic/#slsnav-overview,"559 Nathan Abbott Way, Stanford, CA 94305","Through Stanford’s Criminal Prosecution Clinic, students shape the outcome of felony and misdemeanor prosecutions in Superior Court and learn to wield the power of the state ethically and deliberatively.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,Read more about the CPC's work featured on the Mills Legal Clinic blog.,https://law.stanford.edu/criminal-prosecution-clinic/#slsnav-cpc-blog,"Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/86021' target='_blank'>George Fisher</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Stanford Arts Institute ,arts,https://arts.stanford.edu/arts-institute/,"365 Lasuen Street, Stanford, CA 94305","The Stanford Arts Institute offers interdisciplinary arts curricula and research programs, drawing on the wide-ranging intellectual resources of Stanford University.",https://dl.airtable.com/.attachments/f654b75c70a58c258050bb17f4b99250/8749f0d9/StanfordArtsInstitute.png,"Through its Arts + Justice program, SAI is partnering with CCSRE and the San Francisco District Attorney's office on a pre-arraignment arts diversion program that diverts youth from the criminal justice system. In so doing, the program mitigates the effects of prosecution, reduces the direct and collateral impacts of systemic racism, while also harnessing creative abilities and providing mentorship opportunities to those impacted by the criminal justice system.",https://ccsre.stanford.edu/projects/imagining-justice-race-justice-and-repair,"Recreation and Culture, Arts & Humanities",Jean Ma,NA,NA,POINT (-122.1678 37.43056),Vice President for the Arts,
Athletics,athletics,https://gostanford.com/,"641 East Campus Drive, Stanford, California 94305","In the 2021–22 academic year, Stanford has 36 varsity sports—20 for women, 16 for men (sailing is a co-ed sport). In addition to its varsity sports, Stanford Athletics supports campus-wide physical education academic classes, fitness and wellness, aquatics, intramurals, adventure programming and 33 club sports.",https://dl.airtable.com/.attachments/8656ac4f9a4cba704ac3f69f3c80c025/9f4d0d0d/StanfordAthletics.png,"ACE provides one-time funding for accepted Duke-Stanford ACE student-athletes to participate in three-week, immersive summer service experiences with an international community partner. Each summer, 40 student-athletes participate in one of four international group programs with service themes like education, coaching, environmental sustainability and conservation, and health outreach and education.",https://ace.duke.edu/,Recreation and Culture,Frances Marin ,"Kristen Azevedo (kristen.azevedo@stanford.edu), Tommy Gray (tcgray@stanford.edu)",NA,POINT (-122.1616 37.43034),Stanford Athletics,
Stanford Center on Longevity,longevity,https://longevity.stanford.edu/,"365 Lasuen Street, Stanford, CA 94305","The mission of the Stanford Center on Longevity is to accelerate and implement scientific discoveries, technological advances, behavioral practices, and social norms so that century long lives are healthy and rewarding.",https://dl.airtable.com/.attachments/699bc35c696ddd3c4ebd7aca12b97416/4b0b85fb/StanfordCenteronLongevity.png,"To further this mission, SCL launched The New Map of Life initiative. In this initiative, researchers define new models for education and lifelong learning, redesign how we work, advise new policies for health care, housing, the environment and financial security, and promote more intergenerational partnerships.",https://longevity.stanford.edu/the-new-map-of-life-report/,"Health, Identity & Human Rights",<a href = 'https://profiles.stanford.edu/laura-carstensen' target='_blank'>Laura L Carstensen</a>,Martha Deevy (mdeevy@stanford.edu),NA,POINT (-122.1678 37.43056),Dean of Research,
Stanford King Center on Global Development ,king,https://kingcenter.stanford.edu,"366 Galvez Street, Stanford, CA 94305",The Stanford King Center on Global Development is a university-wide research center working to help improve the lives of people living in poverty around the world. ,https://dl.airtable.com/.attachments/aa562b9d33d5c09c10175e759db86fd7/71860c3b/StanfordKingCenteronGlobalDevelopment.png,"The King Center convenes expertise and supports new research by scholars across campus on nine thematic areas. We use social sciences and insights from technological innovations to advance understanding of global development challenges, identify solutions, and help forge a path toward shared prosperity.",https://kingcenter.stanford.edu/our-work/thematic-areas,"Global, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/pascaline-dupas' target='_blank'>Pascaline Dupas</a>,Jessica Leino (jleino@stanford.edu),NA,POINT (-122.1653 37.42939),Dean of Research,
Center for Comparative Studies in Race and Ethnicity - Race and Justice Research Initiative ,csre,https://ccsre.stanford.edu/initiatives/race-justice-research-initiative https://ccsre.stanford.edu/fellowships/undergraduate-fellowships,"450 Jane Stanford Way, Building 360, Stanford, CA 94305","The Race & Justice Research Labs are led by Stanford Faculty in collaboration with community partners. They develop research-based innovations for racial justice.

CCSRE Undergraduate Fellowships support students interested in social change, activism, community organizing, and research by developing their analytical and practical skills as social change leaders, community advocates, and scholar-activists. Each cohort of fellows will be supported through specially designed CSRE courses, skill-building workshops, faculty mentors, and a dedicated coordinating team that will engage, challenge, and empower students as they delve into meaningful and transformative work with community partners.",https://dl.airtable.com/.attachments/bac356d6ffd9974d36e36797548b136e/8b3968ea/CenterforComparativeStudiesinRaceandEthnicity.png,"The CCSRE community shares how race and ethnicity shape their work and lives, and how they bring about a more just world through their research, teaching, and community involvement.",https://ccsre.stanford.edu/events-news/ccsre-stories,"Equity or Socioeconomic Issues, Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/paula-moya' target='_blank'>Paula M L Moya</a>,Alfredo J Artiles (aartiles@stanford.edu),NA,POINT (-122.1718 37.42755),School of Humanities & Sciences,
The Bill Lane Center for the American West ,lane,https://west.stanford.edu/,"473 Via Ortega Drive, Y2E2, Stanford, CA 94305","The concepts of identity and place are central to the American West. For many in the West, local government shapes how individuals and communities interact and grow. From bicycle paths to clean drinking water, local government is responsible for most services that residents see and touch. The Center works to train the next generation of leaders in the American West through student research opportunities, executive education and our City Managers Initiative.",https://dl.airtable.com/.attachments/143a440c15454a45d63049ddf2dca7c2/534d5395/TheBillLaneCenterfortheAmericanWest.jpg,"The concepts of identity and place are central to the American West. For many in the West, local government shapes how individuals and communities interact and grow. From bicycle paths to clean drinking water, local government is responsible for most services that residents see and touch. The Center works to train the next generation of leaders in the American West through student research opportunities, executive education and our City Managers Initiative.",https://west.stanford.edu/researchwestern-governance-and-policy/regional-engagement,"Identity & Human Rights, Arts & Humanities, Environment and Sustainability, Law, Policy, & Justice, Recreation and Culture",<a href = 'https://profiles.stanford.edu/bruce-cain' target='_blank'>Bruce Cain</a>,Kate Gibson (katevgibson@stanford.edu),NA,POINT (-122.1759 37.42832),School of Humanities & Sciences,
Stanford Global Studies: The Sohaib and Sara Abbasi Program in Islamic Studies,sgs_islamic,https://islamicstudies.stanford.edu/,"615 Crothers Way, Encina Commons 124, Stanford, CA 94305","The Abbasi Program in Islamic Studies is the central forum for the study of Islam and Muslim societies at Stanford University 

We have three goals that focus on research, teaching, and public outreach:

We support interdisciplinary research and scholarship on Islamic cultures and societies across the globe.  Working within and across academic disciplines and world regions, our affiliates explore the religion of Islam in all of its internal complexity and in diverse social and cultural contexts.  We host lectures and conferences that advance scholarship in the field and support undergraduate and graduate student research.

We coordinate and promote interdisciplinary coursework in the field of Islamic Studies. To enrich Stanford students’ exposure to the study of Islam at all levels, we support the academic pursuits of undergraduates and graduates and administer student grants for fieldwork, advanced language training and internships. For undergraduates seeking a Minor in Global Studies, we coordinate the specialization in Islamic Studies.

We actively engage multiple audiences with the goal of deepening public understanding of Islam and Muslim societies.  Through our support for public lectures, artistic performances, exhibitions, and our online resources for K-12 teachers and students, we serve as a resource for the public and educators alike.",https://dl.airtable.com/.attachments/55ffa8f50852206428fb950a1f4fa037/fca86414/AbbasiredsquareforGDrive.png,"K-12 resources for teaching about Islam and Muslim societies, especially at middle and high school level. ",https://islamicstudies.stanford.edu/resources/resources-k-12-educators,"Education, Identity & Human Rights, Environment and Sustainability, Equity or Socioeconomic Issues, Arts & Humanities, Global",<a href = 'https://profiles.stanford.edu/lisa-blaydes' target='_blank'>Lisa Blaydes</a>,"Farah El-Sharif (fsharif@stanford.edu), Colin Patrick Hamill (chamill@stanford.edu)",NA,POINT (-122.1647 37.42685),School of Humanities & Sciences,
Haas Center for Public Service ,haas,https://haas.stanford.edu/,"562 Salvatierra Walk, Stanford, CA 94305","Founded in 1985, the Haas Center for Public Service inspires Stanford University to realize a just and sustainable world through service, scholarship, and community partnerships. The Haas Center is also the hub of Cardinal Service, a university-wide effort to make public service an essential feature of a Stanford education. ",https://dl.airtable.com/.attachments/a5b5c113ab431631215558a1606f48ab/64ea036c/HaasCenterforPublicService.png,Partnership for Climate Justice in the Bay Area ,https://haas.stanford.edu/resources/community-partners/partnerships-climate-justice-bay-area,"Arts & Humanities, Education, Environment and Sustainability, Equity or Socioeconomic Issues, Health, Identity & Human Rights, Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/juliet-brodie' target='_blank'>Juliet Brodie</a>,Thomas Schnaubelt (thomas.schnaubelt@stanford.edu),https://dl.airtable.com/.attachments/d3ab7a39ae2b9d41e86ffcfc6ffbf171/240834ed/20141212_rwcflood3_0.jpg,POINT (-122.1674 37.4225),"Vice Provost for Undergraduate Education, Vice Provost for Graduate Education","2021, 2022"
John and Terry Levin Center for Public Service and Public Interest Law: Pro Bono Program,levin,https://law.stanford.edu/levin-center/pro-bono-program/,"559 Nathan Abbott Way, Stanford, CA 94305","The Levin Center offers Stanford law students the opportunity to use their burgeoning legal skills to help communities in need and serve the public interest generally. Whether by providing in-person assistance to immigrants seeking asylum, or by fighting for environmental justice through impact litigation, students have the chance–almost immediately after joining the law school–to create change in our communities, in our country, and in the world.",https://dl.airtable.com/.attachments/cebb6fc359d2ccee6d19281a703be628/251f05b8/JohnandTerryLevinCenter.png,"The Levin Center empowers students to lead and participate in 20 Student-Led Pro Bono Projects. Each project partners with a local nonprofit, government agency, or SLS clinic to engage students in personally meaningful, substantive, and life-changing work.",https://law.stanford.edu/levin-center/pro-bono-program/#slsnav-student-led-pro-bono-projects,"Law, Policy, & Justice",,Mike Winn (mikewinn@law.stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
"School of Engineering, Equity and Inclusion Initiatives",engineeringequity,https://engineering.stanford.edu/students-academics/equity-and-inclusion-initiatives,"475 Via Ortega Drive, Stanford, CA 94305","The goal of Stanford Engineering’s Equity and Inclusion Initiatives is to ensure a more just and equitable educational experience. We strive to create a nurturing, welcoming and inclusive environment for individuals from a variety of backgrounds, perspectives and beliefs. 

We seek to empower students that have been historically marginalized based on race, gender, sexuality, ability, national origin, religion, income and limited access to higher education. 

Through collaboration with graduate students, student societies, campus partners, faculty, staff, alumni and corporate donors, the Equity and Inclusion Initiatives team continues to create a range of programs that provide educational support and individual enrichment for the Stanford Engineering community.",https://dl.airtable.com/.attachments/26fccdfe0355b798f2bb7a98fc0e77ba/d0cc1269/StanfordEngineering.png,NA,NA,Equity or Socioeconomic Issues,,Lourdes Andrade (lourdes.andrade@stanford.edu),NA,POINT (-122.174 37.42784),School of Engineering,
